ENSMMUG00000050812
ENSMMUG00000056262
NLRP3
GJA8
ID3
ENSMMUG00000052364
SMYD3
NPR1
KIF26B
HNRNPU
COX20
ENSMMUG00000062648
DTL
E2F2
ILF2
ENSMMUG00000061500
ENSMMUG00000063991
ASAP3
NENF
AKT3
SNAPIN
TCEA3
S100A1
CDA
S100A13
ENSMMUG00000057562
CDC42BPA
S100A2
SDCCAG8
GLUL
S100A4
HNRNPR
S100A5
S100A6
CLSPN
ENSMMUG00000056485
ATF3
C1H1orf54
BATF3
S100A8
S100A12
S100A9
PSMB2
C4BPB
RGS16
ENSMMUG00000057430
C4BPA
PLA2G2A
BCAR3
ST3GAL3
VASH2
HIVEP3
ENSMMUG00000055266
LACTBL1
SCMH1
CR2
NBL1
CCDC18
ENSMMUG00000053735
EPHB2
ENSMMUG00000013596
C1H1orf162
CTPS1
MARCKSL1
EXO1
LAMC1
C1QB
C1QC
CITED4
ENSMMUG00000063725
ENSMMUG00000058256
OPN3
KMO
ENSMMUG00000057445
DIPK1A
BSND
mml-mir-29b-2
TMEM61
FH
DHCR24
CHI3L2
PTPN14
AKR7A3
EVI5
MRTO4
FDPS
CENPF
DENND2D
ENSMMUG00000031435
RGS4
CHRM3
TXNIP
PRSS38
CDCA8
PHGDH
ANP32E
ENSMMUG00000058513
CLIC4
ZNF697
NUF2
HSD3B2
PLEKHO1
NCF2
HAO2
RBM8A
RYR2
ENSMMUG00000061128
G0S2
HSD11B1
TRAF3IP3
RGL1
MTMR11
EPRS1
IRF6
MRPL37
CAP1
MTR
BOLA1
H2AC21
H2AC20
SYT14
ENSMMUG00000052382
CDCP2
HIST2H3A
COLGALT2
H2BC18
FCGR1A
SERTAD4
TSEN15
MYCL
HHAT
CD160
ENSMMUG00000051893
C1H1orf21
CSF3R
H3-4
ACTN2
UCK2
TGFBR3
HEYL
NIBAN1
LRRC42
CLCA4
EVA1B
FUCA1
NEK2
ENSMMUG00000054069
CSF1
ENSMMUG00000059860
GALE
GPR157
INTS7
mml-mir-215
mml-mir-194-1
GPA33
LYST
SLC2A5
IVNS1ABP
COL16A1
POU2F1
DMRTB1
CA6
ENSMMUG00000064079
TTF2
CREG1
AK2
CD101
ENO1
SERINC2
CCN1
PTGER3
CD2
REG4
GNG4
CTH
HMGCS2
B3GALNT2
ENSMMUG00000053858
CD58
C1H1orf115
CDC20
DNAI3
NPPA
YARS1
EDARADD
RERE
HLX
SLC1A7
PTGS2
HHIPL2
PSMA5
PLA2G4A
TMEM125
TAS1R2
DEPDC1
SLC22A15
GNG5
GPSM2
ENSMMUG00000053959
ENSMMUG00000000404
PARK7
SDC3
NGF
EBNA1BP2
SARS1
TNFRSF9
UTS2
FAM102B
GADD45A
SHISAL2A
DISP3
IL12RB2
IL23R
ENSMMUG00000059924
SLC35D1
ANGPTL7
VAV3
YBX1
PPIH
SRM
CD1A
COA6
RALGPS2
ORC1
MYCBP
INSL5
NTNG1
KCNK1
CD5L
FCRL1
TNFRSF25
FCRL2
ABL2
ECE1
FCRL3
ENSMMUG00000028695
PCNX2
FCRL5
BARHL2
ETV3
CENPS
ETV3L
PDE4B
PTPRU
EIF4G3
ENSMMUG00000055309
PGD
ENSMMUG00000052393
AXDND1
HES3
LRRC8C
LEPR
LRRC8B
COL11A1
HP1BP3
SIPA1L2
GBP3
CKS1B
LRRC71
S1PR1
KIF1B
NTRK1
SLAMF7
ENSMMUG00000050564
SLAMF1
SH2D2A
C1H1orf131
HDGF
TRIM67
ARV1
ACBD6
SKI
LMO4
PHACTR4
CAPN9
HS2ST1
AGT
GPATCH4
IL6R
GPR37L1
ATP5IF1
TTC24
PTAFR
PTPN7
GALNT2
CDC14A
NFIA
UBE2T
CACNA1E
HAX1
RPA2
C1H1orf87
SH2D1B
CLSTN1
RGS18
NOS1AP
PPP1R12B
CCT3
FGGY
ACTA1
CENPL
JUN
IGSF8
ENSMMUG00000031107
IFI6
ENSMMUG00000054927
FGR
TBX19
SERPINC1
ENSMMUG00000013779
SLAMF9
BGLAP
XCL1
SEMA4A
ATP1B1
RAB13
FCRLA
TAGLN2
ENSMMUG00000060500
FCGR2A
LMNA
VSIG8
SLAMF8
FCRL6
CRP
APCS
ENSMMUG00000050121
FCGR3
ANKRD65
F5
CACYBP
MRPL20
KDM5B
C8A
MRPS14
CADM3
FYB2
ENSMMUG00000054881
SELL
C1H1orf185
CDKN2C
ENSMMUG00000054699
AURKAIP1
FAF1
PRKAA2
ENSMMUG00000062087
ENSMMUG00000051680
PLPP3
APOA2
DMRTA2
FCER1G
RXFP4
C1H1orf112
ENSMMUG00000060051
ENSMMUG00000061549
OR6K3
SPTA1
SASS6
TMEM51
ENSMMUG00000052919
BEND5
ENSMMUG00000059275
ADAMTS4
RGS1
RGS2
TSPAN2
SLC5A9
UCHL5
SCNN1D
SYCP1
CD1B
ENSMMUG00000054309
TNFRSF4
GLRX2
CD1C
TNFRSF18
ENSMMUG00000063427
STIL
TTLL10
DHRS3
MYBPH
F11R
TSTD1
CHI3L1
SNX7
CHIT1
BTG2
FMOD
ENSMMUG00000045497
CNIH4
AGRN
DPYD
CNIH3
ENSMMUG00000051471
LBR
ENAH
DCLRE1B
BCL2L15
F13B
SRP9
ENSMMUG00000056100
ASPM
ISG15
HES4
MYOC
ENSMMUG00000055405
ENSMMUG00000056097
MAGI3
DENND1B
MIXL1
LIN9
SLC16A1
PARP1
DNM3
ENSMMUG00000057278
TAFA3
ARHGEF10L
PPM1J
ITPKB
ARHGAP29
CTTNBP2NL
RCC2
ENSMMUG00000057625
KCND3
PADI4
PADI3
PADI2
FASLG
TNFSF18
SNRPE
LRRN2
SOX13
TNFSF4
REN
KISS1
GOLT1A
ADGRL4
IFI44
IFI44L
GIPC2
ENSMMUG00000057801
DNAJB4
ENSMMUG00000060669
SAMD11
ST6GALNAC5
KIF14
ST6GALNAC3
NUDC
CAMSAP2
HSPB7
GPR25
ACADM
LHX8
ENSMMUG00000055524
CNTN2
ENSMMUG00000051392
CRYBG2
PKP1
TNNT2
LAD1
TNNI1
PHLDA3
CEP85
CSRP1
LEMD1
NAV1
ENSMMUG00000064105
ENSMMUG00000064439
NUCKS1
ZNF593
C1H1orf232
RAB7B
STMN1
CTSE
AUNIP
RHEX
SRGAP2
ELF3
PDZK1IP1
CYP4X1
CYP4B1
TEX38
KNCN
ENSMMUG00000055679
IL10
IL20
FCMR
